id,grau
USP,16118
UNESP,9220
UFRJ,8119
UFMG,6217
UFRGS,6207
UNICAMP,5489
UFPR,3756
UFSM,3700
UFPE,3655
UFV,3564
UFSC,3479
UERJ,3439
UFC,3374
UFPB,3303
UFF,3208
UFBA,3094
UnB,3024
PUC-SP,2756
UFSCar,2537
UFPA,2481
UEL,2397
PUC-RS,2337
PUC-RJ,2097
UEM,2093
UFU,2051
UFRN,1941
UFJF,1828
PUC-Cam,1824
UFG,1797
UFRRJ,1795
URLA,1672
UFPEL,1604
UFES,1530
PUC-MG,1465
UNIFESP,1407
UFRPE,1126
Mackenzie,990
FURG,981
UFMS,948
UECE,939
UFAM,939
UNISINOS,916
UFMG,870
UFAL,840
PUC-PR,836
UFMA,808
UFOP,778
UFPI,760
UFSE,744
outros,56688
